float_id,date,latitude,longitude,depth,pressure,temperature,salinity,basin
6902899,2021-01-16T11:37:00,42.2071,6.5286,111.5,114.3,13.578,38.319,Western Mediterranean
6903250,2021-01-16T11:50:00,42.1407,17.7546,453.7,465.0,,38.935,Adriatic
6903016,2021-01-16T12:00:30,35.8318,-3.3927,485.6,497.7,,38.541,Western Mediterranean
3901849,2021-01-16T12:02:20,44.0353,9.2092,24.6,25.2,14.536,38.06,Ligurian
6902846,2021-01-16T22:56:30,34.4871,27.9496,134.2,137.6,15.171,39.069,Eastern Mediterranean
6903239,2021-01-17T05:56:00,40.4013,10.1131,229.9,235.6,14.474,38.737,Tyrrhenian
6902944,2021-01-17T05:56:30,39.7436,11.4632,120.8,123.8,15.687,38.139,Tyrrhenian
6902944,2021-01-17T05:56:30,39.7436,11.4632,283.9,291.0,14.641,,Tyrrhenian
6902944,2021-01-17T05:56:30,39.7436,11.4632,,363.9,14.57,38.762,Tyrrhenian
6903263,2021-01-17T05:57:30,42.9741,15.1548,68.7,70.4,15.337,38.914,Adriatic
6901250,2021-01-17T05:58:00,41.0001,5.5969,151.7,155.5,13.712,38.423,Western Mediterranean
3901978,2021-01-17T09:47:30,34.0554,16.6872,145.8,149.4,15.732,38.635,Western Mediterranean
6903249,2021-01-17T11:42:00,35.8166,19.0368,38.0,39.0,16.712,38.366,Western Mediterranean
3901853,2021-01-17T11:56:00,37.226,17.452,430.6,441.4,14.787,27.573,Western Mediterranean
6903249,2021-01-17T13:13:00,35.8106,19.0372,147.3,151.0,15.454,38.922,Western Mediterranean
6903866,2021-01-17T23:38:30,41.886,29.0917,51.2,52.5,9.835,18.674,Eastern Mediterranean
6902969,2021-01-18T10:33:48,40.1702,1.8084,345.9,354.54,13.674,,Western Mediterranean
6902969,2021-01-18T10:33:48,40.1702,1.8084,408.3,418.55,13.617,38.635,Western Mediterranean
6903248,2021-01-18T11:51:30,37.6505,4.7583,444.6,455.7,13.553,38.612,Western Mediterranean
6902803,2021-01-19T02:18:30,38.0118,4.6412,426.6,437.3,13.603,,Western Mediterranean
6902803,2021-01-19T02:18:30,38.0118,4.6412,362.9,372.0,13.821,38.648,Western Mediterranean
3901890,2021-01-19T02:55:30,35.9915,20.3334,,85.8,17.676,1.518,Eastern Mediterranean
6902773,2021-01-19T06:00:30,38.1878,9.1928,222.6,228.2,14.531,38.774,Western Mediterranean
6902773,2021-01-19T06:00:30,38.1878,9.1928,371.4,380.7,14.321,38.805,Western Mediterranean
6901270,2021-01-19T06:47:00,36.895,0.949,232.2,238.0,13.712,38.543,Western Mediterranean
6903016,2021-01-19T11:48:30,35.7168,-3.2627,168.9,173.1,14.117,38.083,Western Mediterranean
6903016,2021-01-19T11:48:30,35.7168,-3.2627,298.1,305.6,13.46,38.562,Western Mediterranean
6903016,2021-01-19T11:48:30,35.7168,-3.2627,376.7,386.1,13.412,38.562,Western Mediterranean
6902845,2021-01-19T22:40:30,33.2573,28.1493,85.8,87.9,18.629,38.927,Eastern Mediterranean
6902718,2021-01-19T22:55:30,33.4345,26.2617,107.4,110.1,18.366,39.225,Eastern Mediterranean
6902718,2021-01-19T22:55:30,33.4345,26.2617,45.6,46.7,18.301,38.75,Eastern Mediterranean
6902718,2021-01-19T22:55:30,33.4345,26.2617,,368.0,14.73,39.002,Eastern Mediterranean
6902913,2021-01-19T23:13:30,32.3582,24.8377,236.9,242.8,15.625,39.134,Eastern Mediterranean
6901278,2021-01-20T04:52:20,40.1606,5.5799,324.3,332.4,14.016,38.656,Western Mediterranean
6901278,2021-01-20T04:52:20,40.1606,5.5799,374.5,383.9,13.783,38.626,Western Mediterranean
6902870,2021-01-20T05:08:30,35.0503,17.0551,47.5,48.7,17.635,38.148,Western Mediterranean
6902870,2021-01-20T05:08:30,35.0503,17.0551,294.3,301.7,14.796,38.965,Western Mediterranean
6902873,2021-01-20T05:13:30,33.3686,23.0957,108.2,110.9,17.554,38.596,Eastern Mediterranean
6902875,2021-01-20T05:18:30,37.343,18.4079,327.7,335.9,15.186,39.093,Western Mediterranean
6902875,2021-01-20T05:18:30,37.343,18.4079,,66.7,16.066,38.629,Western Mediterranean
6901281,2021-01-20T05:41:30,39.2429,0.9202,54.5,55.9,13.685,38.15,Western Mediterranean
6902944,2021-01-20T05:53:30,39.4916,11.1514,246.2,252.4,14.551,38.714,Tyrrhenian
6902944,2021-01-20T05:53:30,39.4916,11.1514,262.4,269.0,14.555,38.741,Tyrrhenian
6902944,2021-01-20T05:53:30,39.4916,11.1514,436.1,447.0,14.372,38.798,Tyrrhenian
3901977,2021-01-20T05:58:20,31.7215,27.1955,352.3,361.1,15.172,,Eastern Mediterranean
6901774,2021-01-20T10:42:00,36.956,2.7705,9.3,9.5,15.686,36.685,Western Mediterranean
6903016,2021-01-20T11:54:30,35.6752,-3.2466,405.3,415.4,13.422,38.564,Western Mediterranean
6903291,2021-01-21T02:53:44,36.0646,24.0315,397.6,407.5,15.251,39.145,Eastern Mediterranean
6902944,2021-01-21T05:50:30,39.4458,11.0979,395.1,405.0,14.405,38.807,Tyrrhenian
6903766,2021-01-21T06:03:30,42.4012,29.3703,20.5,21.0,9.352,18.672,Eastern Mediterranean
6903766,2021-01-21T06:03:30,42.4012,29.3703,170.9,175.2,8.78,21.44,Eastern Mediterranean
6901772,2021-01-21T10:30:00,35.8921,17.9164,173.2,177.5,,38.956,Western Mediterranean
6901772,2021-01-21T10:30:00,35.8921,17.9164,145.9,149.5,,38.727,Western Mediterranean
3901908,2021-01-21T20:48:20,35.0289,29.802,103.2,105.8,16.637,0.226,Eastern Mediterranean
6902846,2021-01-21T22:42:30,34.5446,27.9066,373.7,383.0,14.164,,Eastern Mediterranean
6902846,2021-01-21T22:42:30,34.5446,27.9066,134.8,138.2,,39.07,Eastern Mediterranean
6903239,2021-01-22T06:00:00,40.3013,10.0371,9.2,9.4,15.013,38.147,Tyrrhenian
3901978,2021-01-22T08:07:30,33.7162,16.4839,466.5,478.2,14.849,38.977,Western Mediterranean
6902899,2021-01-22T11:40:00,42.0691,6.4165,410.7,421.0,,38.638,Western Mediterranean
6903866,2021-01-23T01:39:30,41.8405,29.1463,,367.3,8.879,21.882,Eastern Mediterranean
6902969,2021-01-23T10:37:54,40.0985,1.7579,328.3,336.55,13.691,38.64,Western Mediterranean
6902969,2021-01-23T10:37:54,40.0985,1.7579,88.3,90.48,13.57,38.17,Western Mediterranean
6902803,2021-01-24T02:16:30,37.9369,4.4984,102.8,105.4,14.648,,Western Mediterranean
3901890,2021-01-24T02:55:30,35.9742,20.0882,47.7,48.9,17.283,,Eastern Mediterranean
